"run","alpha","l1_ratio","rmse","mae","r2"
2022-11-29_15:04:02.607445,0.5,0.5,0.7931640229276851,0.6271946374319586,0.10862644997792614
2022-11-29_15:04:22.960910,0.5,0.5,0.7931640229276851,0.6271946374319586,0.10862644997792614
2022-11-29_15:04:28.390513,1.0,0.0,0.7508731220796288,0.5811664801219334,0.20114704337556732
2022-11-29_15:04:35.379513,0.0,1.0,0.6603811224461618,0.5073644199888924,0.3820931219110164
